file_name,table
Prd_Mstr.{Ext}.Txt,product_dim
TIMELINE.TSV,time_dim
DUMP.XLSX,fact
DATA.TXT,geography_dim
time_dim_geography_dim.xlsx,geography_dim
date_dim.txt,time_dim
SKU_MASTER.CSV,product_dim
RECORDS.XLSX,time_dim
RAw_CalENdAR.PaRQuEt,time_dim
product_master.tsv,product_dim
fact_latest.csv,fact
imp_time_ref.{ext}.xlsx,time_dim
STAGING_TEMPORAL_DATA.PARQUET,time_dim
Fact_Snapshot_20240115.Parquet,fact
Snapshot.Dat,fact
time_2024.tsv,time_dim
temporal_dim.txt,time_dim
Prod_Dim.Txt,product_dim
faCT_TAblE.XLSx,fact
DUMP.XLSX,fact
DATA_-GEO_DIM.{EXT}.TXT,geography_dim
DATES.PARQUET,time_dim
Dump.Txt,product_dim
exp_geo_ref.{ext}_backup.dat,geography_dim
FACT_LATEST.TXT,fact
Sfct.{Ext}.Dat,fact
TBL_-SFCT.{EXT}_EXPORT.DAT,fact
Time_Dim.Tsv,time_dim
dAtEs.PaRquET,time_dim
sales_export.csv,fact
TM_LKP.{EXT}.DAT,time_dim
lookup.csv,time_dim
geography_q1_2024.txt,geography_dim
geography_dim_fact_report.xlsx,geography_dim
records.csv,product_dim
PRODUCT_SNAPSHOT.TXT,product_dim
rAw_BuSiness_MEtriCS.tSv,fact
Geo_Snp.{Ext}.Txt,geography_dim
dev_temporal_data.tsv,time_dim
combined_time_dim_geography_dim.csv,time_dim
stAgINg_FacT.xlSX,fact
geography_dim_fact.csv,fact
GEO_REF.{EXT}_DATA.TXT,geography_dim
FaCtTBL.{EXT}_dATa.csv,fact
Product_Master.Csv,product_dim
DEV_rEvEnUe_datA.TSV,fact
fact_with_geography_dim.xlsx,geography_dim
staging_time.txt,time_dim
time_dim_fact.xlsx,fact
GEoGRaPHY_Q1_2024.PaRquEt,geography_dim
territories.parquet,geography_dim
BRAND_DIM.XLSX,product_dim
fact_product_dim_report.xlsx,fact
SNAPSHOT.CSV,fact
TIMe_maPpINg.xLSx,time_dim
geoTBL.{eXT}.TXT,geography_dim
geOgRaPhy_mAstEr.tSv,geography_dim
dEV_sAles_DAtA.tSv,fact
datafile.xlsx,fact
STagInG_pROdUCT.tSv,product_dim
Kpi_Export.Tsv,fact
imp_prd_dim.{ext}_data.xlsx,product_dim
Raw_Fact.Tsv,fact
Product_Catalog.Parquet,product_dim
ReGIOnal_Dim.csv,geography_dim
dump.txt,product_dim
Product_Lookup.Xlsx,product_dim
geo_dimension.xlsx,geography_dim
SKU_MASTER.CSV,product_dim
TIME_MAPPING.CSV,time_dim
pRoDucT_snAPshot.TxT,product_dim
Fact_Master.Csv,fact
timeline.tsv,time_dim
dump.dat,fact
geography_dim_time_dim_report.xlsx,geography_dim
fact_export.txt,fact
GEOGRAPHY_20240115.CSV,geography_dim
timeline.tsv,time_dim
codes.csv,geography_dim
geography_snapshot.txt,geography_dim
TImE_ExpoRT.cSv,time_dim
dates.xlsx,time_dim
PRD_CAT.{EXT}.CSV,product_dim
Reference.Dat,time_dim
MerCHANdIse.XLsX,product_dim
TIME_MASTER.TXT,time_dim
TIME_DIm.pARqUEt,time_dim
FACT_SNAPSHOT_2024_01.CSV,fact
COUNTRY_DIM.PARQUET,geography_dim
GEO.{EXT}.XLSX,geography_dim
MASTER_FILE.CSV,product_dim
kpI_EXpORt.tsV,fact
geography_dim_time_dim.xlsx,time_dim
product_export.xlsx,product_dim
fact_product_dim.xlsx,product_dim
Prod_Catalog.Csv,product_dim
prd_mstr.{ext}.dat,product_dim
raw_fact.parquet,fact
geo.{ext}.xlsx,geography_dim
country_dim.xlsx,geography_dim
time_dim_fact.csv,fact
dev_business_metrics.xlsx,fact
Staging_Product.Txt,product_dim
Dev_Regional_Dim.Xlsx,geography_dim
DUMp.TXT,product_dim
data__fActS.{EXt}.cSV,fact
Lookup.Csv,time_dim
fact_master.tsv,fact
Exp__Fct_Exp.{Ext}.Csv,fact
ASSORTMENT.TSV,product_dim
geo_dim.tsv,geography_dim
StAGINg_gEOgrAPhY.tXt,geography_dim
Catalog.Parquet,product_dim
dataset.dat,fact
Product_Snapshot.Csv,product_dim
RAW_LOCATION_MASTER.XLSX,geography_dim
geo_dIm.PArqUEt,geography_dim
datafile.xlsx,fact
Fact_Table.Tsv,fact
prd_eXP.{ext}.Dat,product_dim
combined_geography_dim_product_dim.xlsx,geography_dim
Prd_Lkp.{Ext}_Final.Dat,product_dim
inventory.xlsx,product_dim
SALES_FACT.XLSX,fact
dates.tsv,time_dim
dim_dump.dat,geography_dim
time_master.tsv,time_dim
detaILS.Dat,fact
pRoD.{ExT}.dAT,product_dim
CODeS.txT,geography_dim
geography_dim_time_dim.csv,time_dim
REFERENCE.TXT,geography_dim
fact_q1_2024.csv,fact
expgeomStr.{ExT}.tXT,geography_dim
cal_dim.{ext}.dat,time_dim
brand_dim.parquet,product_dim
Geography_20240115.Txt,geography_dim
geography_dim_product_dim_report.csv,geography_dim
Exp_-Geog.{Ext}.Txt,geography_dim
Prod_Kpi_Export.Xlsx,fact
product_dim_with_fact.csv,fact
prd_lkp.{ext}.csv,product_dim
prod.{ext}.dat,product_dim
Dim_Export.Txt,geography_dim
STATE_REGION.CSV,geography_dim
Imp_FCT_mstr.{eXT}.csV,fact
FCTDATA.{EXT}BACKUP.XLSX,fact
RAw_InvENtoRy.TSv,product_dim
Data.Txt,time_dim
output_file.xlsx,fact
Sales_Export.Tsv,fact
ft.{ext}.txt,fact
fct_mstr.{ext}.dat,fact
DATA.XLSX,geography_dim
DATASET.DAT,fact
fact_time_dim.csv,time_dim
pRODUcT_HIerarChY.ParQUEt,product_dim
time_dim_fact_report.csv,time_dim
PRODuct_exPoRT.paRQuet,product_dim
combined_fact_geography_dim.xlsx,fact
staging_product.txt,product_dim
fact_geography_dim.csv,geography_dim
Raw_Sales_Data.Tsv,fact
geography_dimension.csv,geography_dim
Staging_Fact.Csv,fact
List.Txt,geography_dim
GEOGRAPHY_EXPORT.PARQUET,geography_dim
Sku_Master.Xlsx,product_dim
Prod_Sales_Export.Xlsx,fact
imp_time_tbl.{ext}.csv,time_dim
fact_table.parquet,fact
geo_dimension.xlsx,geography_dim
fact_table.tsv,fact
DATA.DAT,geography_dim
fact_product_dim_report.csv,fact
Area_Mapping.Tsv,geography_dim
LOOKUP.TXT,geography_dim
date_dim.parquet,time_dim
fct_mstr.{ext}_report.dat,fact
tbl_-gdim.{ext}_data.txt,geography_dim
geo_dimension.csv,geography_dim
STAGING_STATE_REGION.PARQUET,geography_dim
time_dim_with_fact.xlsx,fact
rpt_-gd.{ext}_v1.dat,geography_dim
Export_20240115.Csv,product_dim
Dump.dAt,fact
TIME_SNAPSHOT.TSV,time_dim
location_master.csv,geography_dim
fAcT_DUmP.CSv,fact
fact_final.xlsx,fact
FACT_SnApsHoT_jaN_2024.CSv,fact
FaCt_sNApshoT_Q1_2024.pARqueT,fact
GEO_SNP.{EXT}.TXT,geography_dim
tBL_Dt_DIM.{eXt}_EXpoRT.xlSx,time_dim
Date_Dim.Txt,time_dim
Time_Dimension.Txt,time_dim
FACt_MeTrIcs.tsv,fact
REGIONAL_DIM.PARQUET,geography_dim
Gd.{ext}_repORt.xLsX,geography_dim
product_dim_fact.xlsx,fact
td.{ext}.xlsx,time_dim
product_dim_time_dim_report.csv,product_dim
rAw_iNveNTORY.CSV,product_dim
DETails.dat,fact
Ref_Data.Xlsx,geography_dim
product_dim_with_geography_dim.csv,geography_dim
staging_geography.parquet,geography_dim
CALENDAR_DIM.XLSX,time_dim
master_file.xlsx,product_dim
gEOgrAPhY_ExpOrt.PaRqUet,geography_dim
GeOGrAPhy_ExPorT.cSV,geography_dim
market_facts.xlsx,fact
product_dimension.csv,product_dim
geogRaphY_DimENsIon.xLSx,geography_dim
GEOGRAPHY_DIMENSION.PARQUET,geography_dim
Prod_Dim.Txt,product_dim
STATE_REGION.XLSX,geography_dim
Tbl_-Geo_Exp.{Ext}.Csv,geography_dim
product_dim_time_dim.csv,time_dim
Fact_Export.Txt,fact
dev_market_facts.tsv,fact
GEOGRAPHY_2024_01.XLSX,geography_dim
FACT_TBL.{EXT}.TXT,fact
geosnp.{ext}.xlsx,geography_dim
sales_data.parquet,fact
combined_fact_geography_dim.csv,fact
LOOKUP.XLSX,time_dim
Reference.Xlsx,time_dim
loOkuP.TxT,geography_dim
rpt_-time_dim.{ext}_final.txt,time_dim
Data_Fct_Exp.{Ext}.Csv,fact
