file_name,table
order_export_backup.parquet,orders
prOduCt_DaTA.cSv,products
Dev_Payments.Parquet,transactions
woRkfORcE.xlSx,employees
PrODuCT_list.xLsx,products
INVENTORY.XLSX,products
Client_Database.Parquet,customers
RAW_SKU_LIST.PARQUET,products
transactions_employees.csv,employees
products_2023.tsv,products
Financial_Transactions.Parquet,transactions
EMPLOYEES.XLSX,employees
rEporT.daT,orders
Employees_Jan_2024.Csv,employees
Transactions_Q1_2024.Tsv,transactions
Crm_Export.Tsv,customers
billing_data.parquet,transactions
Roster.Dat,employees
accounts.parquet,customers
payment_data.parquet,transactions
PRODUCTS_2024.TXT,products
staging_crm_export.xlsx,customers
payment_transactions.xlsx,transactions
products_orders_report.xlsx,products
fiNAnCIAL_REPoRT.dAT,transactions
product_master.txt,products
hr_export.dat,employees
combined_orders_transactions.xlsx,orders
transaction_log.tsv,transactions
Data.Txt,employees
transactions.csv,transactions
payments.xlsx,transactions
team_roster.csv,employees
sales.csv,orders
Prod_Merchandise.Tsv,products
report.dat,orders
Data.Dat,employees
USER_DATA.CSV,customers
TRANSACTIONS_2024.TXT,transactions
SALES_DATA.XLSX,orders
Payment_Transactions.Txt,transactions
Master.Txt,products
transactions_report.csv,orders
customers_with_orders.csv,orders
catalog_jan.txt,products
PrODuCT_MASter.xLSx,products
DEV_PAYMENT_HISTORY.CSV,transactions
pRoD_PuRchasES.CSv,orders
payment_history.parquet,transactions
Staff.Xlsx,employees
Data.Xlsx,employees
TRaNSAcTioN_loG.tSv,transactions
CUSTOMER_LIST_LATEST.TSV,customers
CuSTOMeR_eXpORT.TSv,customers
financial_report.csv,transactions
products_transactions.csv,transactions
Master_File.Dat,customers
customer_data.parquet,customers
TraNSaCTioNs.XlSx,transactions
combined_employees_transactions.xlsx,employees
SKU_LIST.TSV,products
raw_customers.txt,customers
CUSTOMERS_2023.XLSX,customers
sTagInG_Payment_DAtA.ParQUET,transactions
RostEr.DAt,employees
combined_transactions_products.csv,transactions
MASTER_FILE.TXT,customers
REPORT.DAT,orders
rAw_Hr_dAtA.Tsv,employees
ORDER_DATA.PARQUET,orders
item_master.xlsx,products
products_transactions_report.csv,products
report.txt,customers
data.txt,products
PAYMENT_LOG.TXT,transactions
EMPLOYEES_2023.XLSX,employees
payment_log.csv,transactions
PAYMENT_LOG.CSV,transactions
subscriber_data.xlsx,customers
EmpLOYee_DAtA.tXT,employees
employee_master.csv,employees
Transaction_Log.Xlsx,transactions
pRodUCt_lIsT.pARqUEt,products
Products_2024.Xlsx,products
data.csV,customers
workforce.parquet,employees
Payments.Parquet,transactions
roster.txt,employees
CuSTomerS.TxT,customers
EMPLOYEES_20240115.PARQUET,employees
customer_master.txt,customers
CaTaLOg_20240115.Txt,products
combined_orders_employees.csv,orders
ORDERS_2023.TSV,orders
TraNsactiON_Log.csv,transactions
member_list.tsv,customers
hr_export.dat,employees
customers_2024_01.csv,customers
combined_customers_transactions.xlsx,customers
CLIENTS.CSV,customers
PRODUCT_CATALOG.TSV,products
customer_master.parquet,customers
ORdeR_daTA.tXT,orders
EMPLOYEE_DATA.XLSX,employees
cATAlog_20240115.xLSx,products
report.dat,orders
ordERs.txT,orders
Database_Dump.Csv,customers
employees.parquet,employees
order_details.xlsx,orders
catalog_2024.dat,products
staging_bookings.csv,orders
DATA.DAT,orders
Customer_Export.Xlsx,customers
staff_list.tsv,employees
data.dat,products
PAYMENTS.TSV,transactions
proDuCT_LisT.TSV,products
payment_transactions.csv,transactions
prod_sales_data.xlsx,orders
products_orders.csv,orders
product_list.csv,products
employees_with_orders.csv,orders
data.txt,products
financial_report.csv,transactions
CUSTOMER_DATA.CSV,customers
order_export_latest.xlsx,orders
Data.Csv,transactions
EmplOyEE_rOSTEr.csV,employees
daTa.XLsX,customers
ROSTER.DAT,employees
order_details.csv,orders
combined_employees_products.csv,employees
transactions_jan_2024.parquet,transactions
transaction_log.tsv,transactions
combined_products_customers.xlsx,products
order_export_final.csv,orders
CLIENT_DATABASE.XLSX,customers
tRaNsactIon_dATa.tSV,transactions
ConTAcT_LIst.XlSX,customers
