raw_column,standard_column,table_context,label
NewEmployeeCity_legacy,employee_city,employees,1
payment_method_new,settlement_date,transactions,0
product_description_orig,reorder_level,products,0
MANAGER_ID,employee_address,employees,0
customer-id,currency_code,transactions,0
slid,payment_method,orders,0
shipping,shipping_city,orders,1
raw_CUSTOMER.PHONE,customer_phone,customers,1
article_barcode,product_barcode,products,1
src_Years_Of_Service,employee_city,employees,0
shipping_city,shipping_state,orders,0
customeraddress,customer_address,customers,1
shippingcity,order_total,orders,0
MerchantId,settlement_date,transactions,0
tax_amount,order_notes,orders,0
product_cost_v2,product_brand,products,0
performance.rating,employee_id,employees,0
member_city,customer_city,customers,1
order,order_status,orders,1
legacy_last_login_date,last_login_date,customers,1
d_of_birth,customer_name,customers,0
TERMINATION_DATE,manager_id,employees,0
income_range_field,income_range,customers,1
customer.type,customer_status,customers,0
clnt_cntry,customer_zip,customers,0
p_sts_orig,product_status,products,1
actualdelivery,payment_method,orders,0
customerid,shipping_cost,orders,0
OrderPriority,estimated_delivery,orders,0
preferredlanguage,gender,customers,0
src_employeezip,employee_zip,employees,1
col_employee_salary,manager_id,employees,0
sale_source,customer_id,orders,0
txn_ts_raw,currency_code,transactions,0
customerphone,customer_name,customers,0
dscnt_mnt,discount_amount,orders,1
taxamount,tax_amount,orders,1
worker_department,employee_department,employees,1
shipping_location,shipping_address,orders,1
stock_qty,stock_quantity,products,1
mngrd,employee_department,employees,0
col_new_order.notes,delivery_date,orders,0
Prdctsbctgry,product_dimensions,products,0
stck_qntty,stock_quantity,products,1
payment-method,settlement_date,transactions,0
sale_priority,order_priority,orders,1
clnt_id_field,customer_id,customers,1
customeremail,preferred_language,customers,0
prdct_sku,product_color,products,0
PaymentMethod,payment_method,transactions,1
shipping_city_legacy,delivery_date,orders,0
TempOrderNotes,order_notes,orders,1
emp_telephone,employee_phone,employees,1
date_of_birth,loyalty_points,customers,0
productweight_raw,product_weight,products,1
authorization_code,terminal_id,transactions,0
Paymentprocessor,transaction_status,transactions,0
ProductSku,product_weight,products,0
shipping.zip,customer_id,orders,0
hiredate,employee_zip,employees,0
EmployeeDepartment,employee_email,employees,0
transaction-type,transaction_type,transactions,1
orig_performance_rating,employee_id,employees,0
Customer.Segment,income_range,customers,0
order_date_src,shipping_cost,orders,0
performance_rating,hire_date,employees,0
worker_salary,employee_phone,employees,0
new_shipping_zip,actual_delivery,orders,0
dt-of-brth,date_of_birth,employees,1
product_subcategory_new,stock_quantity,products,0
ORDER_NOTES,order_notes,orders,1
EMPLOYEE_ADDRESS,employee_zip,employees,0
loyalty,income_range,customers,0
item_cost,product_cost,products,1
item-sku,product_sku,products,1
col_transaction_date,exchange_rate,transactions,0
mrgncy_cntct,manager_id,employees,0
authorization_code,authorization_code,transactions,1
coupon_code,order_date,orders,0
cstmr_ml_v1,customer_segment,customers,0
dt_of_brth,employee_state,employees,0
user_country,customer_country,customers,1
dateofbirth,date_of_birth,customers,1
preferred,customer_segment,customers,0
Employee_State,employee_city,employees,0
customer,shipping_state,orders,0
CUSTOMER_SEGMENT,customer_name,customers,0
exchangerate,order_id,transactions,0
Performance_Rating,performance_rating,employees,1
o_id,terminal_id,transactions,0
Performance_Rating,employee_zip,employees,0
date.added,date_added,products,1
coupon_code,order_date,orders,0
payment-processor,merchant_id,transactions,0
O_Notes,tax_amount,orders,0
mply_zip,emergency_phone,employees,0
order-notes,shipping_cost,orders,0
col-exchange-rate,terminal_id,transactions,0
Employee_Email_orig,employee_phone,employees,0
orig_customercountry,customer_zip,customers,0
CUSTOMER_PHONE,date_of_birth,customers,0
exchange.rate,order_id,transactions,0
col_refund_date,refund_date,transactions,1
Terminal_Id,terminal_id,transactions,1
member_id,registration_date,customers,0
Prdct_Sku,product_sku,products,1
col_order_date_new,order_date,orders,1
occupation,customer_status,customers,0
